"Time","yRising","yFalling","yEither"
3.170000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.180000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.190000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.200000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.210000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.220000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.230000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.240000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.250000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.260000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.270000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.280000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.290000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.300000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.310000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.320000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.330000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.340000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.350000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.360000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.370000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.380000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.390000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.400000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.410000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.420000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.430000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.440000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.450000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.460000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.470000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.480000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.490000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.500000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.510000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.520000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.530000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.540000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.550000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.560000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.570000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.580000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.590000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.600000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.610000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.620000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.630000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.640000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.650000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.660000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.670000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.680000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.690000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.700000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.710000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.720000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.730000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.740000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.750000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.760000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.770000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.780000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.790000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.800000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.810000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.820000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.830000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.840000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.850000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.860000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.870000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.880000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.890000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.900000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.910000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.920000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.930000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.940000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.950000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.960000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.970000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.980000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.990000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.000000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.010000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.020000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.030000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.040000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.050000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.060000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.070000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.080000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.090000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.100000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.110000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.120000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.130000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.140000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.150000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.160000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.170000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.180000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.190000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.200000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.210000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.220000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.230000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.240000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.250000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.260000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.270000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.280000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.290000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.300000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.310000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.320000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.330000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.340000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.350000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.360000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.370000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.380000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.390000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.400000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.410000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.420000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.430000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.440000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.450000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.460000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.470000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.480000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.490000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.500000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.510000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.520000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.530000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.540000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.550000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.560000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.570000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.580000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.590000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.600000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.610000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.620000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.630000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.640000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.650000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.660000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.670000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.680000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.690000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.700000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.710000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.720000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.730000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.740000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.750000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.760000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.770000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.780000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.790000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.800000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.810000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.820000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.830000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.840000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.850000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.860000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.870000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.880000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.890000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.900000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.910000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.920000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.930000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.940000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.950000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.960000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.970000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.980000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.990000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
5.000000000000000E-01,-7.568024953079300E-01,0.000000000000000E+00,-7.568024953079300E-01
5.010000000000000E-01,-7.568024953079300E-01,0.000000000000000E+00,-7.568024953079300E-01
5.020000000000000E-01,-7.568024953079300E-01,0.000000000000000E+00,-7.568024953079300E-01
5.030000000000000E-01,-7.568024953079300E-01,0.000000000000000E+00,-7.568024953079300E-01
5.040000000000000E-01,-7.568024953079300E-01,0.000000000000000E+00,-7.568024953079300E-01
5.050000000000000E-01,-7.568024953079300E-01,0.000000000000000E+00,-7.568024953079300E-01
